experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,8509,852,Brefeldin A,N/A,N/A,N/A,Organic acids and derivatives,Boronic acid derivatives,Boronic acids,Boronic acid derivatives,0.7666666666666666,class,3,In silico
dataset1_smallNetsFP,8510,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8511,347,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8512,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8513,205,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8514,65,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8515,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8516,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8517,1724,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Sulfanilides,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8518,40,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8519,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8520,1387,2.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Steroids and steroid derivatives,1.1,class,4,In silico
dataset1_smallNetsFP,8521,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Oxanes,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8522,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8523,-1,NA,NA,NA,NA,Benzenoids,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8524,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8525,-1,3-Amino-3-(2-chlorophenyl)propionic acid,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8526,2745,NA,NA,NA,NA,Benzenoids,NA,NA,"Amino acids, peptides, and analogues",0.7666666666666666,subclass,3,In silico
dataset1_smallNetsFP,8527,3538,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8528,-1,Mesterolone,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids and lipid-like molecules,Prenol lipids,Retinoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8529,74,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8530,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8531,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8532,1154,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,subclass,1,In silico
dataset1_smallNetsFP,8533,5764,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8534,1747,NA,NA,NA,NA,Benzenoids,NA,NA,Eicosanoids,1.1,subclass,2,In silico
dataset1_smallNetsFP,8535,1983,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",0.9333333333333333,subclass,6,In silico
dataset1_smallNetsFP,8536,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8537,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8538,-1,Azelaic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8539,118,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,Lipids and lipid-like molecules,0.9,superclass,15,In silico
dataset1_smallNetsFP,8540,1266,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Fatty Acyls,0.9,class,10,In silico
dataset1_smallNetsFP,8541,13,NA,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8542,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8543,118,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,Lipids and lipid-like molecules,0.9,superclass,15,In silico
