experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_SmallNets,2844,6054,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1.1,subclass,2,Insilico
dataset1_SmallNets,2845,108,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2846,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2847,1297,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-alkylpyrrolidines,1,subclass,1,Library
dataset1_SmallNets,2848,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2849,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2850,1080,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,subclass,10,Insilico
dataset1_SmallNets,2851,3117,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,0.7666666666666666,subclass,3,Insilico
dataset1_SmallNets,2852,541,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Carboxylic acids and derivatives,0.725,class,16,Insilico
dataset1_SmallNets,2853,3016,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,2854,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,2855,618,NA,NA,NA,NA,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,2856,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,2857,1080,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,subclass,10,Insilico
dataset1_SmallNets,2858,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2859,1184,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Lipids and lipid-like molecules,0.9333333333333333,superclass,6,Insilico
dataset1_SmallNets,2860,65,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_SmallNets,2861,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,2862,3915,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_SmallNets,2863,669,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Toluenes,1,subclass,1,Library
dataset1_SmallNets,2864,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2865,1304,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,0.8142857142857143,superclass,7,Insilico
dataset1_SmallNets,2866,2016,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Prenol lipids,0.7666666666666666,class,3,Insilico
dataset1_SmallNets,2867,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,NA
dataset1_SmallNets,2868,-1,rac-Anatalline,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Halobenzenes,NA,NA,NA,NA,NA
dataset1_SmallNets,2869,1547,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,2870,2454,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,Azoles,1,class,1,Insilico
dataset1_SmallNets,2871,-1,NA,NA,NA,NA,Benzenoids,Phenol ethers,Anisoles,NA,NA,NA,NA,NA
dataset1_SmallNets,2872,4289,NA,NA,NA,NA,NA,NA,NA,Glycosphingolipids,1,subclass,1,Insilico
dataset1_SmallNets,2873,6794,"6H-Dibenzo[b,d]pyran-9-methanol, 3-(1,1-dimethylheptyl)-6a,7,10,10a-tetrahydro-1-hydroxy-6,6-dimethyl-, (6aR,10aR)-",Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_SmallNets,2874,296,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2875,905,NA,NA,NA,NA,Organoheterocyclic compounds,Pyrrolidines,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2876,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2877,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2878,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2879,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2880,1762,"4-Thiazolidinecarboxylic acid, 2-undecyl-, (4R)-",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organoheterocyclic compounds,Piperidines,NA,"Amino acids, peptides, and analogues",1,subclass,2,Library
dataset1_SmallNets,2881,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2882,1090,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,NA,NA,NA,NA
dataset1_SmallNets,2883,1874,NA,NA,NA,NA,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,NA,NA,NA,NA,NA
dataset1_SmallNets,2884,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,NA,NA
dataset1_SmallNets,2885,7596,NA,NA,NA,NA,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acid esters,NA,NA,NA,NA,NA
dataset1_SmallNets,2886,4954,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Carbonyl compounds,1,subclass,2,Library
dataset1_SmallNets,2887,979,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,0.7216216216216216,superclass,37,Insilico
dataset1_SmallNets,2888,564,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls,0.7666666666666666,class,3,Insilico
dataset1_SmallNets,2889,4364,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Carboximidamides,NA,NA,NA,NA,NA
dataset1_SmallNets,2890,199,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,1,subclass,2,Library
dataset1_SmallNets,2891,188,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,3,Insilico
dataset1_SmallNets,2892,6962,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,2893,298,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",1,subclass,2,Library
dataset1_SmallNets,2894,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2895,149,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Fatty Acyls,0.85,class,4,Insilico
