experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,7955,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7956,87,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,87,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7957,-1,NA,NA,NA,NA,NA,NA,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7958,74,Organoheterocyclic compounds,Oxazinanes,Morpholines,N/A,N/A,N/A,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,74,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7959,144,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,144,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7960,6953,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,6953,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7961,5834,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,5834,no matches,no matches,no matches,Carboxylic acids and derivatives,1.1,class,2,In silico
dataset1_smallNetsFP,7962,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7963,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7964,3533,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,3533,no matches,no matches,no matches,Alcohols and polyols,1.1,subclass,2,In silico
dataset1_smallNetsFP,7965,3749,NA,NA,NA,NA,NA,NA,NA,NA,NA,3749,no matches,no matches,no matches,Ethers,1,subclass,1,In silico
dataset1_smallNetsFP,7966,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7967,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7968,1178,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1178,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.9947368421052631,subclass,19,In silico
dataset1_smallNetsFP,7969,1237,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,1237,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7970,1595,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1595,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.9571428571428571,subclass,7,In silico
dataset1_smallNetsFP,7971,-1,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7972,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7973,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7974,1396,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1396,no matches,no matches,no matches,Lipids and lipid-like molecules,0.8555555555555555,superclass,45,In silico
dataset1_smallNetsFP,7975,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7976,1307,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,1307,no matches,no matches,no matches,Lipids and lipid-like molecules,1.1,superclass,2,In silico
dataset1_smallNetsFP,7977,-1,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7978,2851,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,2851,no matches,no matches,no matches,Carboxylic acids and derivatives,0.9,class,5,In silico
