experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmalNets,14895,7743,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",7743,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,2,Insilico
dorcierrSmalNets,14896,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,406,no matches,no matches,no matches,Organic acids and derivatives,0.5333333333333333,superclass,15,Insilico
dorcierrSmalNets,14897,4385,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,4385,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14898,1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1272,no matches,no matches,no matches,Fatty acid esters,1,subclass,2,Insilico
dorcierrSmalNets,14899,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,406,no matches,no matches,no matches,Organic acids and derivatives,0.5333333333333333,superclass,15,Insilico
dorcierrSmalNets,14900,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14901,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,572,no matches,no matches,no matches,Lipids and lipid-like molecules,0.52,superclass,25,Insilico
dorcierrSmalNets,14902,4426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14903,7082,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,7082,no matches,no matches,no matches,Benzoic acids and derivatives,1,subclass,1,Insilico
dorcierrSmalNets,14904,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
